time,posx,posy,posz
22.579999924,-0.04974128238467039,0.041212505139790405,1.422884664672617
22.586000443,-0.0497213281732058,0.041197277143142925,1.422983690377034
22.61300087,-0.04482541712834394,0.03560278288634884,1.4520674663327648
22.624000549,-0.04926863087747253,0.040094602732482866,1.4299606544491754
22.652000427,-0.049378645298011066,0.039783236819387655,1.4318786659330365
22.666999817,-0.04967509860602267,0.039451405248142314,1.4338095784221925
22.687999725,-0.043450344826876076,0.041998298207298605,1.4480140655400762
22.711999893,-0.04352951894779041,0.04194070513685003,1.448436982848484
22.726999283,-0.043588104239222256,0.041896565656729924,1.448758326920493
22.753000259,-0.07030659891778923,0.03750433238502753,1.4821082322604933
22.767000198,-0.05085023549600795,0.040997902024034194,1.4572234125735257
22.799999237,-0.056604645910604,0.04072712116726253,1.4599571891293475
22.812999725,-0.07444882445234072,0.040031016831759074,1.4659774469528637
22.825000763,-0.07512058838227714,0.04000238535792446,1.4662081828447522
22.854000092,-0.05670771684521673,0.043863814295192295,1.4687385945307074
22.865999222,-0.05739615264574235,0.04384803370996675,1.4689435169868688
22.891000748,-0.08961369347629664,0.04355669309012725,1.4722551674077868
22.909000397,-0.09103589175955329,0.04355033790309878,1.4722679371363023
22.927000046,-0.0930425131787902,0.04354102860307376,1.4722862029020531
22.951000214,-0.10867952575945396,0.04345465320807301,1.472438578420426
22.964000702,-0.10938161239874987,0.04345019618201796,1.4724458399570175
22.986999512,-0.16740393773002285,0.05098968063491198,1.4690215785170313
23.006000519,-0.42892801369318134,0.05195297695141075,1.4355524587637898
23.025999069,-0.1935792648338469,0.051176457803788426,1.465842900919146
23.047000885,-0.21046757283159273,0.05130964682214205,1.463535429540258
23.066999435,-0.2356890802094924,0.051513104170872695,1.4597480749919336
23.084999084,-0.34468266356623484,0.052350302809302154,1.4411533500313503
23.105998993,-0.2996176850653029,0.05245677583649704,1.4491080801791265
23.128000259,-0.3075304879357481,0.05253189541916872,1.447750932856973
23.152999878,-0.3600031867175915,0.05304220735667838,1.4385181284366553
23.163000107,-0.3667244416169225,0.05310851188240497,1.437302524899578
23.184999466,-0.37080132375171737,0.053148976079635285,1.4365384608031628
